config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count,total_retry_failures,total_max_retries_exceeded,retry_failure_rate,retry_success_rate
W2_WR0.05_RD6_RT300,2,6,0.05,300,100,0,1,60,0.3333,0.10,7.09,1428.48,3897.34,3897.34,1089.54,1937.41,875.52,1223.68,0.33,0,0,0.0000,1.0000
W2_WR0.10_RD3_RT100,2,3,0.1,100,100,0,1,60,0.5000,0.20,2.84,1503.23,1926.14,1926.14,1479.68,1841.15,965.12,1846.27,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD3_RT200,2,3,0.1,200,100,0,1,60,0.5000,0.20,2.78,1380.35,1923.07,1923.07,1275.90,1811.45,1035.26,1865.73,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD3_RT300,2,3,0.1,300,100,0,1,60,0.5000,0.20,2.76,1290.24,1808.38,1808.38,1309.69,1793.02,1050.62,1828.86,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD4_RT100,2,4,0.1,100,100,0,1,60,0.5000,0.20,3.82,1473.54,1907.71,1907.71,1343.49,1846.27,932.35,1828.86,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD4_RT200,2,4,0.1,200,100,0,1,60,0.4167,0.19,3.90,1466.37,3409.92,3409.92,1244.16,2004.99,896.00,1813.50,0.42,0,0,0.0000,1.0000
W2_WR0.10_RD4_RT300,2,4,0.1,300,100,0,1,60,0.5000,0.20,3.88,1337.34,4542.46,4542.46,1263.62,4575.23,892.41,1857.54,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD5_RT100,2,5,0.1,100,100,0,1,60,0.4444,0.15,6.17,1756.16,3407.87,3407.87,1229.82,1883.13,696.32,1531.90,0.33,0,0,0.0000,1.0000
W2_WR0.10_RD5_RT200,2,5,0.1,200,100,0,1,60,0.3333,0.20,4.78,1545.21,3461.12,3461.12,1458.17,1787.90,912.38,1857.54,0.33,0,0,0.0000,1.0000
W2_WR0.10_RD5_RT300,2,5,0.1,300,100,0,1,60,0.5000,0.20,4.77,1351.68,2416.64,2416.64,1582.08,2334.72,899.07,1809.41,0.50,0,0,0.0000,1.0000
W2_WR0.10_RD6_RT100,2,6,0.1,100,100,0,1,60,0.4545,0.18,6.51,1965.06,4374.53,4374.53,2058.24,2691.07,790.01,1738.75,0.36,0,0,0.0000,1.0000
W2_WR0.10_RD6_RT200,2,6,0.1,200,100,0,1,60,0.2222,0.15,7.12,1656.83,5304.32,5304.32,1464.32,1543.17,697.86,1470.46,0.22,0,0,0.0000,1.0000
W2_WR0.10_RD6_RT300,2,6,0.1,300,100,0,1,60,0.5000,0.16,6.76,1896.45,3700.74,3700.74,1822.72,2236.41,700.41,1602.56,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD3_RT100,2,3,0.2,100,100,0,1,60,0.4583,0.38,1.96,1344.51,2953.22,3028.99,1255.42,3057.66,1344.51,3225.60,0.46,0,0,0.0000,1.0000
W2_WR0.20_RD3_RT200,2,3,0.2,200,100,0,1,60,0.5000,0.38,2.02,1341.44,2079.74,3090.43,1296.38,3100.67,1250.30,3129.34,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD3_RT300,2,3,0.2,300,100,0,1,60,0.5000,0.39,2.01,1371.13,1856.51,3100.67,1280.00,2985.98,1325.06,3213.31,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD4_RT100,2,4,0.2,100,100,0,1,60,0.4583,0.39,2.73,1413.12,3012.61,4521.98,1362.94,2977.79,1329.15,3158.01,0.46,0,0,0.0000,1.0000
W2_WR0.20_RD4_RT200,2,4,0.2,200,100,0,1,60,0.4783,0.37,2.86,1422.34,2553.86,3086.34,1384.45,2971.65,1221.63,3080.19,0.43,0,0,0.0000,1.0000
W2_WR0.20_RD4_RT300,2,4,0.2,300,100,0,1,60,0.5000,0.38,2.69,1448.96,2721.79,3082.24,1363.97,3092.48,1313.79,3139.58,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD5_RT100,2,5,0.2,100,100,0,1,60,0.4167,0.38,3.41,1547.26,3940.35,5591.04,1430.53,2955.26,1317.89,3088.38,0.42,0,0,0.0000,1.0000
W2_WR0.20_RD5_RT200,2,5,0.2,200,100,0,1,60,0.4783,0.37,3.62,1645.57,3012.61,3213.31,1585.15,3041.28,1123.33,3012.61,0.48,0,0,0.0000,1.0000
W2_WR0.20_RD5_RT300,2,5,0.2,300,100,0,1,60,0.5000,0.39,3.65,1559.55,2320.38,2338.82,1486.85,1831.93,1137.66,2988.03,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD6_RT100,2,6,0.2,100,100,0,1,60,0.4375,0.26,6.78,1658.88,5050.37,5050.37,1540.10,1730.56,657.92,2240.51,0.38,0,0,0.0000,1.0000
